key,score,feature_type
BIAS5,0.535927362,obos
SWINGINDEX,0.49968215,trend
CCI5,0.399427802,obos
BIAS10,0.380136536,obos
REVS5,0.336665509,obos
CCI10,0.322158757,obos
KDJ_J,0.319366269,obos
REVS5INDU1,0.30796731,obos
ROC6,0.293720027,obos
PRICE1M,0.282307823,obos
BIAS20,0.280776656,obos
VOLUMN1M,0.257752007,obos
RVI,0.256769477,obos
CCI20,0.239429484,obos
KDJ_K,0.236459323,obos
REVS10,0.233985128,obos
SRMI,0.231302939,obos
PLUSDI,0.225762721,trend
RC12,0.207414771,power
PEHIST20,0.206410396,vs
ACD6,0.20484539,ma
VROC6,0.199732651,volume
UOS,0.19654828,trend
RSI,0.196426402,obos
VROC12,0.181931374,volume
BULLPOWER,0.177587265,power
PLRC6,0.173998688,trend
REALIZEDVOLATILITY,0.171107923,return
MTM,0.169372243,trend
PRICE3M,0.168820661,obos
REVS20,0.167628716,obos
BIAS60,0.164916858,obos
ROC20,0.163132523,obos
ELDER,0.161428011,power
CMO,0.158487867,obos
ALPHA20,0.15687476,return
SHARPERATIO20,0.153705702,return
INFORMATIONRATIO20,0.153546864,return
RANK1M,0.153361132,obos
ASI,0.151304919,trend
REVS20INDU1,0.15047351,obos
RC24,0.14649498,power
PSY,0.136839091,power
KDJ_D,0.128835982,obos
VR,0.125314596,volume
BR,0.123825635,power
CCI88,0.120570207,obos
CR20,0.120236254,power
MFI,0.119789376,obos
DDI,0.118270444,trend
DIZ,0.118170743,trend
BEARPOWER,0.1177229,power
BETA252,0.112626946,return
ACD20,0.111720118,ma
DBCD,0.111651424,obos
VMACD,0.102786222,volume
MACD,0.100929667,trend
CHAIKINOSCILLATOR,0.100096523,trend
TRIX5,0.099180799,trend
SKEWNESS,0.098233775,obos
REVS60,0.09816533,obos
AR,0.098128075,power
ALPHA60,0.094918021,return
SHARPERATIO60,0.093927324,return
INFORMATIONRATIO60,0.09218014,return
PRICE1Y,0.088996937,obos
CHAIKINVOLATILITY,0.081014133,trend
FIFTYTWOWEEKHIGH,0.078178614,obos
TREYNORRATIO20,0.077713692,return
REVS120,0.075889827,obos
ALPHA120,0.071058946,return
SHARPERATIO120,0.070969214,return
INFORMATIONRATIO120,0.070714487,return
WVAD,0.06772556,obos
TREYNORRATIO60,0.065647662,return
AROONUP,0.065420615,trend
PEHIST60,0.06528763,vs
AROON,0.062020566,trend
VOLUMN3M,0.061697964,obos
TVSTD6,0.060530151,volume
VDIFF,0.059649812,volume
UPRVI,0.059348586,obos
PLRC12,0.059348077,trend
TREYNORRATIO120,0.057453127,return
GAINLOSSVARIANCERATIO20,0.054260547,return
RSTR12,0.051167656,power
REVS250,0.050851149,obos
JDQS20,0.049905049,power
DAVOL5,0.043923556,volume
ADTM,0.043365426,obos
VOLATILITY,0.041642886,obos
CHANDESU,0.041418563,obos
COPPOCKCURVE,0.040498405,trend
KLINGEROSCILLATOR,0.035365122,volume
RSTR24,0.033684642,power
VEMA5,0.033143859,volume
DIFF,0.032834477,trend
VOSC,0.031858196,volume
VSTD10,0.030457358,volume
EMV6,0.028025826,trend
LFLO,0.027480405,vs
LCAP,0.025408383,vs
NLSIZE,0.024939096,vs
GAINVARIANCE20,0.024340663,return
DAVOL10,0.024055442,volume
GAINLOSSVARIANCERATIO60,0.023787897,return
REVS750,0.02350073,obos
MA10REGRESSCOEFF6,0.02014529,trend
TRIX10,0.019993449,trend
APBMA,0.019663517,ma
ROECUT,0.019371085,pq
OPERATINGPROFITPSLATEST,0.01928619,psi
VARIANCE20,0.01918091,return
RETAINEDEARNINGSPS,0.018698832,psi
NEGMKTVALUE,0.018513609,vs
EPS,0.018506523,psi
UNDIVIDEDPROFITPS,0.018180496,psi
PEHIST120,0.018031359,vs
TVSTD20,0.017816252,volume
ATR6,0.017813956,obos
ROEDILUTED,0.017755331,pq
OPERATINGPROFITPS,0.017669776,psi
DIVIDENDPS,0.017439411,psi
ROEAVG,0.017180359,pq
OPERATINGREVENUEPSLATEST,0.016683838,psi
TORPSLATEST,0.016678696,psi
VEMA10,0.016595973,volume
MKTVALUE,0.016506451,vs
ROEWEIGHTED,0.016393043,pq
EPSTTM,0.016324244,psi
TVMA6,0.016131331,volume
EBIAT,0.015706133,derive
OPERATINGREVENUEPS,0.015644273,psi
TORPS,0.015635248,psi
EBIT,0.015232945,derive
DILUTEDEPS,0.014914877,psi
SURPLUSRESERVEFUNDPS,0.014492319,psi
PBINDU,0.014410817,vs
ROIC,0.014381912,pq
OPERCASHFLOWPS,0.014192321,psi
PB,0.013933581,vs
ADX,0.013752927,trend
GROSSPROFIT,0.01370455,derive
TOBT,0.013692942,power
NETASSETPS,0.0136882,psi
ROAEBIT,0.013542389,pq
VEMA12,0.013447209,volume
CTP5,0.013255149,cf
VSTD20,0.013197583,volume
MASSINDEX,0.013085634,power
TEMA5,0.013067975,ma
SALESEXPENSETTM,0.013055831,derive
MTMMA,0.0129595,trend
VOL5,0.012910612,volume
GROSSPROFITTTM,0.012326839,derive
OPERCASHINTOASSET,0.012298182,cf
VDEA,0.012216862,volume
DAVOL20,0.011840467,volume
ROECUTWEIGHTED,0.011692799,pq
TOTALASSETSTRATE,0.011552531,oc
CASHRATEOFSALES,0.011352765,cf
ETP5,0.011140176,pq
ROE,0.011053089,pq
EQUITYTRATE,0.011018985,oc
REVENUETTM,0.010837459,derive
TREVENUETTM,0.010830753,derive
NIAPCUT,0.010818863,derive
NIAP,0.010808113,vs
ASSI,0.010512083,vs
TCOSTTTM,0.010468567,derive
ROAEBITTTM,0.010408415,pq
STM,0.010385528,obos
TPROFITTTM,0.010340169,derive
NETPROFITTTM,0.010304219,derive
MAWVAD,0.010250143,obos
OPERATEPROFITTTM,0.010233597,derive
ROE5,0.01008501,pq
COSTTTM,0.01006648,derive
DEGM,0.010042807,growth
EMV14,0.009940829,trend
EBITDA,0.009935114,derive
ROA,0.009933712,pq
NETPROFITAPTTM,0.009915105,derive
ENTERPRISEFCFPS,0.009833671,psi
ADMINEXPENSETTM,0.009726648,derive
ADXR,0.009527358,trend
RETAINEDEARNINGS,0.009518344,derive
KURTOSIS20,0.009453855,return
PEHIST250,0.009244329,vs
TEMA10,0.009028033,ma
SHAREHOLDERFCFPS,0.008957945,psi
OPERATINGNITOTP,0.008688428,pq
OPERATENETINCOME,0.008624057,derive
TEAP,0.008357215,vs
CURRENTASSETSTRATE,0.008092131,oc
SALESERVICERENDERCASHTTM,0.008021189,derive
NETPROFITGROWRATE,0.00801502,growth
CASHRATEOFSALESLATEST,0.007984422,cf
AD,0.007861664,trend
NETTANGIBLEASSETS,0.007725358,derive
CASHFLOWPS,0.007579432,psi
FCFF,0.007570539,derive
TOTALPAIDINCAPITAL,0.007482156,derive
NOCFTOOPERATINGNILATEST,0.007396034,cf
NPFROMOPERATINGTTM,0.007362374,derive
EMA5,0.007357393,ma
REVS5M20,0.007233408,obos
OBV,0.007181695,volume
ACCA,0.007103966,cf
GAINLOSSVARIANCERATIO120,0.007073056,return
VALUECHGPROFIT,0.007065282,derive
CETOP,0.00697524,vs
INTFREECL,0.006873974,derive
ROA5,0.006798005,pq
INTFREENCL,0.006784892,derive
FCFE,0.006750631,derive
NPPARENTCOMPANYGROWRATE,0.006682578,growth
CFO2EV,0.006678779,cf
CASHEQUIVALENTPS,0.006656992,psi
NETOPERATECFTTM,0.006564116,derive
NPFROMVALUECHGTTM,0.006548653,derive
AD6,0.006369374,trend
AD20,0.006224103,trend
NONOPERATINGNPTTM,0.006223437,derive
GREV,0.006181846,af
KURTOSIS120,0.006144444,return
NOCFTOTLIABILITY,0.006124569,sc
ATR14,0.006105626,obos
TOTALASSETS,0.006098583,vs
KURTOSIS60,0.006094498,return
GSREV,0.00599835,af
INTCL,0.005995289,derive
ARC,0.005958124,obos
DASREV,0.005854251,af
TOTALPROFITGROWRATE,0.005841111,growth
ASSETIMPAIRLOSSTTM,0.005816103,derive
OBV6,0.005759286,volume
RSTR504,0.005716249,power
EARNMOM,0.005678107,growth
OBV20,0.005640349,volume
OPERATINGREVENUEGROWRATE,0.005639659,growth
BACKWARDADJ,0.005428568,obos
CASHDIVIDENDCOVER,0.00530508,psi
DA,0.00527878,derive
EMA10,0.005234738,ma
MA5,0.005179461,ma
DDNCR,0.005114591,obos
TOTALFIXEDASSETS,0.005102242,derive
NPCUTTONP,0.00510189,pq
OPERATINGNITOTPLATEST,0.00506794,pq
REC,0.00497312,af
EMA12,0.004889202,ma
BBI,0.004880215,ma
TA2EV,0.004874669,vs
NRPROFITLOSS,0.004584896,derive
DIVIDENDPAIDRATIO,0.004564319,psi
PVT,0.004507112,trend
REVS5M60,0.004463674,obos
EMA20,0.004264976,ma
WORKINGCAPITAL,0.004262826,derive
INTDEBT,0.004197954,derive
DEA,0.004147638,trend
EMA26,0.004088515,ma
CURRENTASSETSRATIO,0.004022449,sc
NPPARENTCOMPANYCUTYOY,0.004019577,growth
MA10,0.004008408,ma
VEMA26,0.004003845,volume
OPERATINGEXPENSERATE,0.00389249,pq
MA60,0.003866662,ma
EMA60,0.003805576,ma
DEBTEQUITYRATIO,0.003756366,sc
OPERCASHGROWRATE,0.003690217,cf
MA20,0.003675886,ma
BOLLUP,0.003670505,obos
BOLLDOWN,0.003637157,obos
OPERATINGPROFITGROWRATE,0.003602277,growth
MA120,0.003552137,ma
EMA120,0.003507188,ma
FIXASSETRATIO,0.003368852,sc
PVT6,0.003081642,trend
ACCOUNTSPAYABLESTRATE,0.003045969,oc
PVT12,0.003022584,trend
TOTALASSETGROWRATE,0.002865521,growth
STATICPE,0.002851235,vs
CTOP,0.002823536,cf
DEBTTANGIBLEEQUITYRATIO,0.002785267,sc
ILLIQUIDITY,0.002733902,obos
PCF,0.002726529,vs
ETOP,0.002550813,pq
PSINDU,0.002448565,vs
NETWORKINGCAPITAL,0.002392078,derive
GREC,0.002358711,af
BETA20,0.002341109,return
OPERCASHINTOCURRENTLIABILITY,0.002257118,cf
LONGDEBTTOWORKINGCAPITAL,0.002143812,sc
TANGIBLEATOINTEBEARDEBT,0.002110815,sc
NOCFTOINTERESTBEARDEBT,0.002096172,sc
INTERESTCOVER,0.00201581,sc
TAXRATIO,0.001786908,pq
TSEPTOINTERESTBEARDEBT,0.0016535,sc
FINANEXPENSETTM,0.001516864,derive
SFY12P,0.001462309,af
TSEPTOTOTALCAPITAL,0.001392887,sc
FSALESG,0.001330533,af
PS,0.001260756,vs
NOCFTOOPERATINGNI,0.001224848,cf
NETINTEXPENSE,0.001195665,derive
GROSSINCOMERATIO,0.001106712,pq
PEG5Y,0.001005239,vs
DEBTSASSETRATIO,0.001004618,sc
SALESERVICECASHTOOR,0.000926284,cf
NETFINANCECFTTM,0.000857468,derive
DAREC,0.000685967,af
FEARNG,0.000622769,af
SUPERQUICKRATIO,0.000620167,sc
MA10REGRESSCOEFF12,0.000426982,trend
CASHTOCURRENTLIABILITY,0.00022311,cf
NETDEBT,0.00016964,derive
DAREV,0.000157597,af
DASTD,7.02E-05,return
PCFINDU,-0.000105145,vs
TVMA20,-0.000112441,volume
SALESSERVICECASHTOORLATEST,-0.000327318,cf
MONEYFLOW20,-0.000464155,volume
QUICKRATIO,-0.000502824,sc
TOTALPROFITCOSTRATIO,-0.000575059,pq
CURRENTRATIO,-0.000596719,sc
NETPROFITCASHCOVER,-0.000632234,cf
OPERATINGPROFITTOTOR,-0.000639065,pq
NETCASHFLOWGROWRATE,-0.000701044,growth
INVENTORYTDAYS,-0.000761818,oc
PVI,-0.000952531,power
EQUITYTOASSET,-0.001004618,sc
NETASSETGROWRATE,-0.001055248,growth
SALESCOSTRATIO,-0.001081967,pq
CASHCONVERSIONCYCLE,-0.001104421,oc
NVI,-0.001161144,power
FY12P,-0.001198516,af
EPIBS,-0.001198516,af
EGIBSLONG,-0.001277402,af
VOL10,-0.001414943,volume
NPTOTOR,-0.001583672,pq
NETNONOITOTPLATEST,-0.001704607,pq
NOCFTONETDEBT,-0.001767849,sc
SUOI,-0.00178326,pq
EBITTOTOR,-0.001793683,pq
NETPROFITGROWRATE3Y,-0.001855468,growth
CAPITALSURPLUSFUNDPS,-0.001888272,psi
INTEBEARDEBTTOTOTALCAPITAL,-0.001939647,sc
BLEV,-0.001967386,sc
FINANCINGCASHGROWRATE,-0.001991209,cf
NETPROFITGROWRATE5Y,-0.002002863,growth
FORWARDPE,-0.002006946,vs
VARIANCE60,-0.002210277,return
ARTRATE,-0.002308349,oc
ACCOUNTSPAYABLESTDAYS,-0.002350144,oc
OPERATINGCYCLE,-0.002382956,oc
OPERATINGPROFITRATIO,-0.002391852,pq
HURST,-0.002414821,trend
GAINVARIANCE60,-0.002489373,return
NETPROFITRATIO,-0.002516166,pq
ARTDAYS,-0.002737491,oc
LONGDEBTTOASSET,-0.002776876,sc
PEINDU,-0.003031011,vs
EGRO,-0.003078266,pq
INTANGIBLEASSETRATIO,-0.003103346,sc
PERIODCOSTSRATE,-0.003552554,pq
PE,-0.003593485,vs
INVESTCASHGROWRATE,-0.003613045,cf
DIVIDENDCOVER,-0.003636599,psi
SUE,-0.003662792,pq
TANGIBLEATONETDEBT,-0.003666042,sc
INVENTORYTRATE,-0.003681937,oc
OPERATINGREVENUEGROWRATE5Y,-0.003698808,growth
MLEV,-0.003798473,sc
FIXEDASSETSTRATE,-0.003917546,oc
NONCURRENTASSETSRATIO,-0.004022449,sc
INVESTRASSOCIATESTOTPLATEST,-0.004101891,pq
LONGTERMDEBTTOASSET,-0.004117369,sc
RETAINEDEARNINGRATIO,-0.004564319,psi
CMRACNE5,-0.004603475,return
INVESTRASSOCIATESTOTP,-0.004659979,pq
PEG3Y,-0.004677132,vs
NETNONOITOTP,-0.004834093,pq
OPERATINGREVENUEGROWRATE3Y,-0.004893594,growth
NETINVESTCFTTM,-0.005518441,derive
ADMINIEXPENSERATE,-0.005802985,pq
BETA60,-0.006061125,return
DHILO,-0.006457961,trend
SGRO,-0.006604258,vs
HSIGMACNE5,-0.006659416,return
BETA120,-0.0071734,return
SBM,-0.008755822,obos
DDNBT,-0.008967345,obos
FINANCIALEXPENSERATE,-0.009050991,pq
STOM,-0.009121884,volume
HBETA,-0.00947863,obos
EQUITYFIXEDASSETRATIO,-0.009581146,sc
BONDSPAYABLETOASSET,-0.010111821,sc
VARIANCE120,-0.010890398,return
VOL20,-0.01130793,volume
HSIGMA,-0.011432136,obos
GAINVARIANCE120,-0.012188694,return
DDNSR,-0.014047487,obos
STOQ,-0.014715066,volume
LOSSVARIANCE120,-0.015400234,return
CMRA,-0.015925739,obos
STOA,-0.016882957,volume
VOL60,-0.018407491,volume
VOL120,-0.019537625,volume
VOL240,-0.020002159,volume
LOSSVARIANCE60,-0.020697415,return
DVRAT,-0.02079143,obos
ARBR,-0.022075582,power
LOSSVARIANCE20,-0.028603008,return
CHANDESD,-0.037320593,obos
AROONDOWN,-0.037817635,trend
ULCER10,-0.047609918,trend
DOWNRVI,-0.061129743,obos
ULCER5,-0.112376169,trend
DIF,-0.11804857,trend
MINUSDI,-0.184595259,trend
MA10CLOSE,-0.388142971,ma
BBIC,-0.411415173,ma
